rad_name_ja,grade,hint_group,kunyomi,meaning,kstroke,examples,kunyomi_ja,ka_utf,rad_order,txt_books,kname,rad_utf,dick,rad_name,dicn,mn_hint,rad_stroke,onyomi_ja,rad_meaning,onyomi,ka_id,rad_position_ja,rad_position
"かねへん",5.0,6.0,"zeni","money",14.0,"[ [ ""銭湯 (せんとう)"", ""bath-house, public bath"" ], [ ""金銭 (きんせん)"", ""money, cash"" ], [ ""賽銭 (さいせん)"", ""monetary offering"" ], [ ""釣り銭 (つりせん)"", ""change [n.]"" ], [ ""守銭奴 (しゅせんど)"", ""miser"" ], [ ""無銭飲食 (むせんいんしょく)"", ""leaving without paying for food"" ], [ ""銭 (ぜに)"", ""money"" ], [ ""小銭 (こぜに)"", ""coins, small change"" ], [ ""身銭 (みぜに)"", ""one&apos;s own money"" ] ]","ぜに","銭",206.0,"[]","zeni","",1136.0,"kanehen",4851.0,"Small [26] money 金.",8.0,"セン","metal, gold, mineral","sen","ka_1007","へん","hen"
"しめすへん",5.0,1.0,"n/a","ancestor",9.0,"[ [ ""祖先 (そせん)"", ""ancestor"" ], [ ""祖国 (そこく)"", ""fatherland, native country"" ], [ ""祖父母 (そふぼ)"", ""grandparents"" ], [ ""元祖 (がんそ)"", ""originator, founder, pioneer"" ], [ ""教祖 (きょうそ)"", ""founder of a religious sect, guru"" ], [ ""先祖 (せんぞ)"", ""ancestor"" ] ]","","祖",121.0,"[ { ""chapter"" : ""27"", ""txt_bk"" : ""txtLookLearn"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""jt"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""18"" } ]","so(sen)","⺭",617.0,"shimesuhen",3243.0,"Altar ネ venerating layers 且 of generations.",4.0,"ソ","altar, festival, religious service","so","ka_1008","へん","hen"
"さんずい",5.0,1.0,"haka, hakaru","measure, conjecture",12.0,"[ [ ""測候所 (そっこうじょ)"", ""weather measurement station"" ], [ ""憶測 (おくそく)"", ""guess, speculation, supposition"" ], [ ""不測 (ふそく)"", ""unexpected [n.]"" ], [ ""測量する (そくりょうする)"", ""measure (mass) [v.t.]"" ], [ ""測定する (そくていする)"", ""measure [v.t.]"" ], [ ""観測する (かんそくする)"", ""observe"" ], [ ""推測する (すいそくする)"", ""guess, conjecture"" ], [ ""予測する (よそくする)"", ""predict, estimate"" ], [ ""目測する (もくそくする)"", ""measure by eye"" ], [ ""測る (はかる)"", ""measure (mass) [v.t.]"" ] ]","はか、はかる","測",76.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""15"", ""txt_bk"" : ""jtr"" } ]","soku-haka(ru)","⺡",444.0,"sanzui",509.0,"Probing the waters シ with measuring tools 丨,亅to determine where shellfish 貝 are.",3.0,"ソク","water","soku","ka_1009","へん","hen"
"はち",1.0,1.0,"ya, you, yattsu","eight",2.0,"[ [ ""八月 (はちがつ)"", ""August"" ], [ ""八時間 (はちじかん)"", ""8 hours"" ], [ ""尺八 (しゃくはち)"", ""bamboo flute"" ], [ ""八回 (はっかい)"", ""8 times"" ], [ ""八分 (はっぷん)"", ""8 minutes"" ], [ ""八百 (はっぴゃく)"", ""800"" ], [ ""八つ (やっつ)"", ""8 (objects)"" ], [ ""八百屋 (やおや)"", ""greengrocer"" ], [ ""八重桜 (やえざくら)"", ""double-flowered cherry-tree"" ], [ ""八日 (ようか)"", ""8 days, 8th of the month"" ] ]","や、よう、やっつ","八",15.0,"[ { ""chapter"" : ""6"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""txtAd1"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ1"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""17"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtLookLearn"" }, { ""txt_bk"" : ""aij4"", ""chapter"" : ""4"" } ]","8","⼋",1859.0,"hachi",577.0,"n/a",2.0,"ハチ","eight","hachi","ka_101","",""
"しかばね",5.0,1.0,"n/a","belong to",12.0,"[ [ ""属性 (ぞくせい)"", ""attribute [n.]"" ], [ ""金属 (きんぞく)"", ""metal"" ], [ ""専属 (せんぞく)"", ""exclusive, specialized [n.]"" ], [ ""猫属 (ねこぞく)"", ""the cat genus"" ], [ ""属する (ぞくする)"", ""belong to, be affiliated with"" ], [ ""配属する (はいぞくする)"", ""assign"" ], [ ""従属する (じゅうぞくする)"", ""be subordinated to"" ], [ ""付属する (ふぞくする)"", ""be attached, be associated"" ], [ ""所属する (しょぞくする)"", ""belong to, be affiliated with"" ] ]","","属",53.0,"[]","(sho)zoku","⼫",2009.0,"shikabane",1400.0,"Good ノ silk worms 虫 in a box 冂 stay where 尸 they belong.",3.0,"ゾク","corpse, awning","zoku","ka_1010","たれ","tare"
"てへん",5.0,1.0,"soko, sokoneru, sokonau","loss, damage, harm",13.0,"[ [ ""損 (そん)"", ""loss"" ], [ ""損失 (そんしつ)"", ""loss"" ], [ ""損得 (そんとく)"", ""loss and gain"" ], [ ""損害 (そんがい)"", ""damage, injury, loss"" ], [ ""損傷 (そんしょう)"", ""damage, injury"" ], [ ""大損 (おおぞん)"", ""heavy loss"" ], [ ""損害賠償 (そんがいばいしょう)"", ""restitution, compensation"" ], [ ""破損する (はそんする)"", ""damage, be damaged"" ], [ ""損ねる (そこねる)"", ""harm, hurt, injure [v.t.]"" ], [ ""損なう (そこなう)"", ""harm, damage [v.t.]"" ], [ ""見損なう (みそこなう)"", ""misjudge, miss, fail to see"" ] ]","そこ、そこねる、そこなう","損",77.0,"[]","son(gai)","⺘",468.0,"tehen",1979.0,"Action 扌 causing hole 口 in the purse 貝 <span class='note'>(orig. ""money"")</span>.",3.0,"ソン","hand","son","ka_1011","へん","hen"
"しんにょう",5.0,6.0,"shirizo, shirizoku, shirizokeru","retreat,drive away, repel",9.0,"[ [ ""退屈な (たいくつな)"", ""tedious, bored"" ], [ ""退廃的な (たいはいてきな)"", ""degenerate, decadent"" ], [ ""退学する (たいがくする)"", ""drop out of school"" ], [ ""退職する (たいしょくする)"", ""retire"" ], [ ""退去する (たいきょする)"", ""depart, leave, recede"" ], [ ""退場する (たいじょうする)"", ""leave, exit"" ], [ ""退院する (たいいんする)"", ""leave hospital"" ], [ ""辞退する (じたいする)"", ""decline an offer"" ], [ ""衰退する (すいたいする)"", ""decay, retreat"" ], [ ""撤退する (てったいする)"", ""evacuate, withdraw, repeal"" ], [ ""退ける (しりぞける)"", ""repel, drive away, reject [v.t.]"" ], [ ""退く (しりぞく)"", ""retreat, recede, withdraw [v.i.]"" ] ]","しりぞ、しりぞく、しりぞける","退",72.0,"[ { ""chapter"" : ""41"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""22"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""22"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""jtr"" } ]","shirizo(ku)","⻌",1969.0,"shinnyou",4684.0,"Receding [10] when bumping into a hard 艮 object.",3.0,"タイ","road, walk, to advance","tai","ka_1012","にょう","nyou"
"かねへん",5.0,1.0,"n/a","copper",14.0,"[ [ ""銅 (どう)"", ""copper"" ], [ ""銅山 (どうざん)"", ""copper mine"" ], [ ""銅貨 (どうか)"", ""copper coin"" ], [ ""銅像 (どうぞう)"", ""bronze statue"" ], [ ""青銅 (せいどう)"", ""bronze"" ] ]","","銅",206.0,"[]","dou(zou)","",1132.0,"kanehen",4853.0,"Metal 金 that looks like 同 gold.",8.0,"ドウ","metal, gold, mineral","dou","ka_1013","へん","hen"
"ぎょうにんべん",5.0,1.0,"n/a","virtue",14.0,"[ [ ""徳 (とく)"", ""virtue, goodness"" ], [ ""道徳 (どうとく)"", ""morals"" ], [ ""人徳 (じんとく)"", ""natural virtue, personal virtue"" ], [ ""不徳 (ふとく)"", ""immorality, depravity"" ], [ ""美徳 (びとく)"", ""virtue"" ], [ ""悪徳商法 (あくとくしょうほう)"", ""corrupt business"" ] ]","","徳",70.0,"[]","(dou)toku","⼻",486.0,"gyouninben",1633.0,"Behave/go 彳 according to the many 十 eyes 罒 of one's conscience 心.",3.0,"トク","step, stride, street, to go","toku","ka_1014","へん","hen"
"けものへん",5.0,6.0,"oka, okasu","offense, commite (a crime), violate, defy",5.0,"[ [ ""犯罪 (はんざい)"", ""crime"" ], [ ""犯行 (はんこう)"", ""criminal act"" ], [ ""犯人 (はんにん)"", ""offender, criminal"" ], [ ""防犯 (ぼうはん)"", ""crime prevention"" ], [ ""初犯 (しょはん)"", ""first offender"" ], [ ""共犯 (きょうはん)"", ""accomplice"" ], [ ""戦犯 (せんぱん)"", ""war criminal"" ], [ ""殺人犯 (さつじんはん)"", ""murderer"" ], [ ""知能犯 (ちのうはん)"", ""intellectual criminal"" ], [ ""犯す (おかす)"", ""commit, perpetrate, violate"" ] ]","おか、おかす","犯",78.0,"[ { ""chapter"" : ""10"", ""txt_bk"" : ""jtr"" } ]","han(nin)","⺨",146.0,"kemonohen",2869.0,"Like an animal 犭 causing a victim cringe [35].",3.0,"ハン","beast","han","ka_1015","へん","hen"
"かたへん",5.0,1.0,"n/a","printing plate, publishing, edition",8.0,"[ [ ""版 (はん)"", ""plate, printing, edition"" ], [ ""版画 (はんが)"", ""art print"" ], [ ""版元 (はんもと)"", ""publisher"" ], [ ""版権 (はんけん)"", ""copyright"" ], [ ""重版 (じゅうはん)"", ""additional printing"" ], [ ""凸版 (とっぱん)"", ""letterpress, relief printing"" ], [ ""活版 (かっぱん)"", ""printing, typography"" ], [ ""出版社 (しゅっぱんしゃ)"", ""publisher"" ], [ ""初版本 (しょはんぼん)"", ""first edition"" ], [ ""決定版 (けっていばん)"", ""definitive edition"" ], [ ""改訂版 (かいていばん)"", ""revised edition"" ], [ ""出版する (しゅっぱんする)"", ""publish"" ] ]","","版",115.0,"[ { ""chapter"" : ""7"", ""txt_bk"" : ""jtr"" } ]","han(ga)","",585.0,"katahen",2843.0,"Pressing paper against 反 engraving plate/wood 片.",4.0,"ハン","split wood","han","ka_1016","へん","hen"
"にんべん",5.0,1.0,"tawara","straw sack",10.0,"[ [ ""土俵 (どひょう)"", ""sumo ring"" ], [ ""一俵 (いっぴょう)"", ""one straw bag"" ], [ ""俵 (たわら)"", ""bale, sack"" ], [ ""米俵 (こめだわら)"", ""straw ricebag"" ], [ ""炭俵 (すみだわら)"", ""sack for charcoal"" ] ]","たわら","俵",11.0,"[]","tawara","⺅",85.0,"ninben",467.0,"Sack wrapping rice or charcoal, the way clothing 表 wraps people イ.",2.0,"ヒョウ","person ","hyou","ka_1017","へん","hen"
"おんなへん",5.0,1.0,"n/a","adult woman",11.0,"[ [ ""婦人 (ふじん)"", ""woman, female"" ], [ ""婦長 (ふちょう)"", ""head nurse"" ], [ ""婦警 (ふけい)"", ""policewoman"" ], [ ""主婦 (しゅふ)"", ""housewife"" ], [ ""夫婦 (ふうふ)"", ""married couple"" ], [ ""娼婦 (しょうふ)"", ""prostitute"" ], [ ""新婦 (しんぷ)"", ""bride"" ], [ ""看護婦 (かんごふ)"", ""nurse"" ], [ ""掃除婦 (そうじふ)"", ""cleaning lady"" ] ]","","婦",45.0,"[ { ""chapter"" : ""8"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""18"", ""txt_bk"" : ""txtAP"" } ]","(fuu)fu","",343.0,"onnahen",1237.0,"Woman 女 performing activities with hands ヨ, wearing 冖 appropriate apparel 巾.",3.0,"フ","woman","fu","ka_1018","へん","hen"
"うかんむり",5.0,1.0,"to, tomu, tomi","rich, wealth",12.0,"[ [ ""富豪 (ふごう)"", ""wealthy person, millionaire"" ], [ ""富士山 (ふじさん)"", ""Mt. Fuji"" ], [ ""富国強兵 (ふこくきょうへい)"", ""national prosperity &amp; defense"" ], [ ""富裕な (ふゆうな)"", ""wealthy, rich, opulent"" ], [ ""豊富な (ほうふな)"", ""abundant, rich, plentiful"" ], [ ""富貴な (ふうきな)"", ""rich and honoured"" ], [ ""富む (とむ)"", ""rich with"" ], [ ""富 (とみ)"", ""wealth, fortune"" ] ]","と、とむ、とみ","富",48.0,"[ { ""chapter"" : ""24"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""20"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtIKB"" } ]","tomi","⼧",1489.0,"ukanmuri",1321.0,"Owning a house 宀 and fields 田 makes one rich, ""having one's 一 say 口"" in society.",3.0,"フ、フウ","roof, house","fu, fuu","ka_1019","かんむり","kanmuri"
"おつ",1.0,1.0,"kokono, kokonotsu","nine",2.0,"[ [ ""九州 (きゅうしゅう)"", ""Kyuushuu"" ], [ ""九回 (きゅうかい)"", ""9 times"" ], [ ""九年 (きゅうねん)"", ""9 years"" ], [ ""九月 (くがつ)"", ""September"" ], [ ""九時 (くじ)"", ""9 o&apos;clock"" ], [ ""十九日 (じゅうくにち)"", ""19 days, 19th of the month"" ], [ ""九日 (ここのか)"", ""9 days, 9th of the month"" ], [ ""九つ (ここのつ)"", ""9 (objects)"" ] ]","ここの、ここのつ","九",6.0,"[ { ""chapter"" : ""6"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""txtAd1"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ1"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtLookLearn"" }, { ""txt_bk"" : ""aij4"", ""chapter"" : ""4"" } ]","9","⼄",2112.0,"otsu",146.0,"n/a",1.0,"キュウ、ク","the second ","kyuu, ku","ka_102","",""
"とめる",5.0,1.0,"n/a","military",8.0,"[ [ ""武士 (ぶし)"", ""warrior, samurai"" ], [ ""武器 (ぶき)"", ""weapon, arms"" ], [ ""武力 (ぶりょく)"", ""military power"" ], [ ""武術 (ぶじゅつ)"", ""martial arts"" ], [ ""武道 (ぶどう)"", ""martial arts, Bushido"" ], [ ""武装する (ぶそうする)"", ""be armed"" ], [ ""武者震い (むしゃぶるい)"", ""shake with excitement [n.]"" ], [ ""影武者 (かげむしゃ)"", ""secret power broker"" ] ]","","武",100.0,"[ { ""chapter"" : ""24"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""24"", ""txt_bk"" : ""txtSFJ"" } ]","bu(ryoku)","⽌",2046.0,"tomeru",51.0,"Arms/spears 弋 for stopping 止 invaders 一.",4.0,"ブ、ム","to stop","bu, mu","ka_1020","",""
"ころもへん",5.0,2.0,"n/a","compound, double, multiple",14.0,"[ [ ""複数 (ふくすう)"", ""plural, multiple"" ], [ ""複利 (ふくり)"", ""compound interest"" ], [ ""複写機 (ふくしゃき)"", ""photocopying machine"" ], [ ""複雑な (ふくざつな)"", ""complex, complicated"" ], [ ""複製する (ふくせいする)"", ""reproduce, duplicate, reprint"" ], [ ""複合する (ふくごうする)"", ""combine"" ], [ ""重複する (ちょうふくする)"", ""be repeated, overlap [v.i.]"" ] ]","","複",151.0,"[ { ""chapter"" : ""21"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""21"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""jtr"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""20"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""30"" } ]","fuku(suu)","⻂",827.0,"koromohen",4255.0,"Kimono 衤 salesman [5] coming repeatedly 又 everyday 日 holding ノ his merchandise.",5.0,"フク","clothing","fuku","ka_1021","へん","hen"
